stock_code,isin_code,company_name,industry,company_description
1440,JP3937000002,株式会社やまぜんホームズ,ページが見つからないか、エラーが発生しました。,ページが見つからないか、エラーが発生しました。
1443,JP3264300009,技研ホールディングス株式会社,建設業,消波ブロックの型枠レンタルが主力。放射線防護工事も柱。マンホールなど鋼製型枠も。
1444,JP3679840003,株式会社ニッソウ,建設業,首都圏で賃貸物件、ビル、マンションの原状回復工事。中小不動産業者から受注。
1445,JP3783430006,株式会社ひかりホールディングス,ページが見つからないか、エラーが発生しました。,ページが見つからないか、エラーが発生しました。
1446,JP3244530006,株式会社キャンディル,建設業,建物の修繕・改修が主力。住宅、ホテルなどリペアサービス。抗菌・光触媒施工も。
1447,JP3104860006,ＩＴｂｏｏｋホールディングス株式会社,建設業,地盤調査改良とITコンサルが主力。ITbookとサムシングが経営統合。官公庁に強み。
1449,JP3814700005,株式会社ＦＵＪＩジャパン,建設業,北海道地盤。外壁材の製造販売・施工などの総合リフォーム事業。
1450,JP3468860006,田中建設工業株式会社,建設業,不動産会社からの元請け方式を主体に、解体工事の全工程を請け負う。
1451,JP3277630004,株式会社ＫＨＣ,建設業,兵庫県を中心に注文住宅・分譲を5社でブランド展開。親会社はJAG。
1452,JP3956650000,横浜ライト工業株式会社,ページが見つからないか、エラーが発生しました。,ページが見つからないか、エラーが発生しました。
